Order_ID,Latitude,Longitude,Order_Weight_kg,Date,Cluster,Dist_km_wh
ORD0001,6.498860602343033,3.348353799066139,3.66,2025-09-08,0,7.878985542735761
ORD0002,6.576057670327723,3.4416802166168723,9.02,2025-09-18,2,14.75394708257971
ORD0003,6.664407563484752,3.4648740344125533,0.84,2025-09-07,1,24.894841995354128
ORD0004,6.545680762943493,3.5750301044351995,6.95,2025-09-23,2,22.071003806810598
ORD0005,6.414837389949589,3.227648521165934,3.04,2025-09-19,0,19.441189645618856
ORD0006,6.482958781881266,3.612219932629913,9.23,2025-09-06,2,23.73232666354476
ORD0007,6.477298028573495,3.238892769700373,2.29,2025-10-01,5,18.057383724443838
ORD0008,6.531229463703022,3.2983199728528234,4.87,2025-09-12,5,14.41462891451732
ORD0009,6.637095076044615,3.217793721847964,9.78,2025-09-24,3,28.947549340106896
ORD0010,6.438158001965476,3.4018221905150057,11.11,2025-09-03,0,1.3320737827597129
ORD0011,6.306841647525131,3.3049329968897503,7.61,2025-09-28,0,19.07260431507875
ORD0012,6.4530198594123656,3.464251893135701,1.3,2025-09-22,4,7.107177741097835
ORD0013,6.5431838469962305,3.514468282284711,1.42,2025-09-08,2,16.34923736080612
ORD0014,6.62833327807428,3.262748961507099,5.71,2025-09-27,3,24.96227738860567
ORD0015,6.4230255701920385,3.495182589944289,2.91,2025-09-09,4,10.93645624660513
ORD0016,6.462225865509604,3.1788311433248104,1.32,2025-09-21,5,24.474678266596463
ORD0017,6.626814519999318,3.5699252693919643,2.38,2025-09-13,2,27.183362788433655
ORD0018,6.494065591591896,3.6215256622018055,8.41,2025-09-08,2,24.961191167782427
ORD0019,6.4319115838719325,3.165501199759045,9.42,2025-09-08,5,25.988439668271365
ORD0020,6.623080581646202,3.174185781522711,5.11,2025-09-03,5,31.507256827008604
ORD0021,6.5838492930534995,3.6183710664557918,10.58,2025-09-11,2,28.346478130485565
ORD0022,6.565869648850208,3.553670514099844,10.67,2025-09-21,2,21.312629573308605
ORD0023,6.398889457621643,3.412608934625229,3.34,2025-09-18,4,5.851518533138342
ORD0024,6.312883977132116,3.325993740361619,5.43,2025-09-19,0,17.301468715241192
ORD0025,6.429089813354772,3.449451910383383,11.97,2025-09-17,4,5.938232003111125
ORD0026,6.30528463166698,3.388190192358572,10.4,2025-09-05,0,16.144449708025416
ORD0027,6.368111827946463,3.2169818921873907,5.35,2025-09-03,0,22.178838326833734
ORD0028,6.378524453979337,3.5090269404780674,5.88,2025-09-09,4,14.43277221588664
ORD0029,6.754581587765168,3.336629127179676,0.63,2025-09-24,3,34.583716043559534
ORD0030,6.702824986938565,3.5366314681808184,9.14,2025-09-25,1,31.90804947863912
ORD0031,6.4710897923817825,3.3135350103353494,5.5,2025-09-15,0,9.83702567504481
ORD0032,6.738709312900043,3.3835990606080495,8.78,2025-09-17,1,32.154087204290505
ORD0033,6.537896237573256,3.1988048832862135,1.72,2025-09-21,5,24.282139274476137
ORD0034,6.463967845089224,3.572821012584916,7.5,2025-09-05,2,19.157980553719067
ORD0035,6.453198672157127,3.451850358798764,11.47,2025-09-30,4,5.740014908239903
ORD0036,6.518476929162144,3.3780490125559495,4.23,2025-09-01,0,7.991187673055337
ORD0037,6.640355145436021,3.4780814587329503,11.83,2025-09-26,1,22.85659674223635
ORD0038,6.502935083611493,3.4363602040332966,10.6,2025-10-01,2,7.126343211471725
ORD0039,6.714318254918327,3.482353255836856,9.88,2025-09-25,1,30.766467397503874
ORD0040,6.43682667572352,3.360827105832064,8.09,2025-10-01,0,4.569457788266195
ORD0041,6.400838125913528,3.3389602158380143,10.53,2025-09-14,0,8.681812619939656
ORD0042,6.761451777101404,3.324863520237393,9.19,2025-09-23,3,35.612417202775255
ORD0043,6.566950975589022,3.514329753262664,11.94,2025-09-21,2,18.12882303106961
ORD0044,6.356907617666123,3.551164013649593,5.69,2025-09-08,4,19.651171599098674
ORD0045,6.5476200660271076,3.524966762943323,7.27,2025-09-08,2,17.562572760083405
ORD0046,6.506227773887919,3.3678422986219796,8.64,2025-09-02,0,7.191240568021741
ORD0047,6.556066030978507,3.6186800086255837,10.39,2025-09-03,2,26.88470303997808
ORD0048,6.391810315878021,3.3672984626796563,6.08,2025-09-18,0,7.4110027040377044
ORD0049,6.6888170921659835,3.5606385290664497,7.07,2025-09-16,1,31.938416835918037
ORD0050,6.532030658614544,3.553643385505241,5.18,2025-09-04,2,19.270319106074457
ORD0051,6.660237506125697,3.4745618688530686,5.37,2025-09-15,1,24.785950836038726
ORD0052,6.562903341331578,3.3345887324101753,8.01,2025-09-21,3,14.485612804192348
ORD0053,6.654820268236538,3.472594022418858,4.4,2025-09-28,1,24.145590154421207
ORD0054,6.609797285517295,3.4496448712004484,6.67,2025-09-05,1,18.595804876800372
ORD0055,6.406985333985867,3.4423622151873947,3.37,2025-09-30,4,6.692348280398639
ORD0056,6.726185919116406,3.483304721439775,10.34,2025-09-04,1,32.059442494606884
ORD0057,6.763930378667729,3.4585219665863955,10.11,2025-09-03,1,35.500929549294774
ORD0058,6.732356470317336,3.2748048790685202,2.41,2025-09-16,3,34.3072756296652
ORD0059,6.291446400468356,3.4067896578646484,10.88,2025-09-06,4,17.646314567468547
ORD0060,6.342981467565067,3.552904531430762,3.55,2025-09-26,4,20.666279525455803
ORD0061,6.553896141012482,3.246886898712285,8.51,2025-09-24,5,20.484451962424743
ORD0062,6.712375959824809,3.373757052452154,8.76,2025-09-05,3,29.3185385816076
ORD0063,6.5677973480903,3.4893171864447243,1.17,2025-09-24,2,16.39937107216113
ORD0064,6.313860532992419,3.3216634421789335,1.16,2025-09-19,0,17.438380447921762
ORD0065,6.285096475343495,3.4145792147191507,6.61,2025-09-02,4,18.40708044907259
ORD0066,6.593640386629919,3.361669304449463,2.64,2025-09-20,3,16.52389823469726
ORD0067,6.73754920014183,3.47681678264957,5.14,2025-10-01,1,33.08073197254351
ORD0068,6.620987320568235,3.299070321544236,7.34,2025-09-20,3,22.041148315189663
ORD0069,6.702382640947815,3.4806120473561464,7.0,2025-09-11,1,29.442530699003424
ORD0070,6.628945346665136,3.333433515592332,8.74,2025-09-08,3,21.213199450982327
ORD0071,6.515461179535458,3.470610734060324,7.92,2025-09-15,2,10.6697804399645
ORD0072,6.4360501608731076,3.580595165938771,1.33,2025-09-15,4,20.014629788017213
ORD0073,6.387373898742498,3.2477816210847643,1.65,2025-09-18,0,18.2043734876994
ORD0074,6.554205905425397,3.506462447103041,11.23,2025-09-29,2,16.51077240046191
ORD0075,6.637610124321674,3.431766664613569,3.78,2025-09-15,1,21.15439945569671
ORD0076,6.630664719435178,3.195045869759425,7.53,2025-09-26,5,30.268909358209594
ORD0077,6.5117407637278335,3.360708046340455,9.9,2025-09-10,0,8.122643393031465
ORD0078,6.598237142893067,3.3452248195109866,10.6,2025-09-09,3,17.55888503983352
ORD0079,6.586157748214448,3.4342999619165533,6.86,2025-09-09,2,15.60705425249019
ORD0080,6.5014533849267035,3.493412463864818,4.44,2025-09-22,2,11.800473080087835
ORD0081,6.438225774639498,3.28176184531955,6.12,2025-09-29,0,13.129852250583165
ORD0082,6.572047965541237,3.3479806226354643,7.79,2025-09-27,3,14.73780667798616
ORD0083,6.521893782771464,3.3941065149414396,9.37,2025-09-21,2,8.020697456079299
ORD0084,6.624982723333309,3.3662800237873807,5.58,2025-09-23,3,19.810570772535687
ORD0085,6.502111506291169,3.390157546010621,1.37,2025-09-29,0,5.8956915764819025
ORD0086,6.489129769733789,3.2878309783553,0.91,2025-09-12,0,13.13479508954968
ORD0087,6.440081249768442,3.330785160642298,1.97,2025-09-10,0,7.726817293220079
ORD0088,6.363660848699486,3.563523314440978,11.68,2025-09-02,4,20.461485962375384
ORD0089,6.6174752711284155,3.310164148735608,3.37,2025-09-04,3,21.10184007603003
ORD0090,6.409956806475961,3.5302744441495753,10.56,2025-09-20,4,15.067647002883428
ORD0091,6.5236033672660465,3.134910586457534,3.22,2025-09-06,5,30.409919956789928
ORD0092,6.7490015461500095,3.3451486847897023,10.64,2025-09-01,3,33.79499831254229
